latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
34.73157,-84.51976,302.02,0.42,0.38,2026-08-30,0744,N20,nominal,2.0NRT,290.28,0.34,N
35.7962,-91.74402,303.13,0.51,0.41,2026-08-30,0744,N20,nominal,2.0NRT,291.08,0.68,N
34.96934,-87.5579,301.84,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,291.67,0.39,N
34.8759,-88.42876,312.33,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.02,0.94,N
34.64621,-87.08266,309.48,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.81,1.21,N
34.64302,-87.08547,306.66,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.81,1.47,N
34.63908,-87.08209,328.21,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.72,1.47,N
34.6404,-87.09038,314.38,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.72,1.78,N
34.63974,-87.08624,316.41,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.97,1.47,N
34.23996,-84.79684,304.15,0.42,0.38,2026-08-30,0744,N20,nominal,2.0NRT,292.13,1.09,N
34.80307,-88.32373,309.89,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,292.73,1,N
35.05189,-90.16706,303.96,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,293.2,0.73,N
35.0484,-90.16775,309.29,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,292.9,0.73,N
35.04429,-90.1637,328.43,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,292.68,3.64,N
35.41001,-93.77605,315.41,0.42,0.45,2026-08-30,0744,N20,nominal,2.0NRT,293.22,1.29,N
34.98161,-90.04069,306.33,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,293.53,1.66,N
33.01429,-79.88804,309.96,0.49,0.49,2026-08-30,0744,N20,nominal,2.0NRT,283.16,1.47,N
33.01316,-79.88297,307.64,0.49,0.49,2026-08-30,0744,N20,nominal,2.0NRT,283.45,1.69,N
33.00882,-79.88432,301.26,0.49,0.49,2026-08-30,0744,N20,nominal,2.0NRT,283.97,0.82,N
33.00769,-79.87923,302.03,0.49,0.49,2026-08-30,0744,N20,nominal,2.0NRT,283.31,0.82,N
35.69799,-101.37016,306.36,0.57,0.69,2026-08-30,0744,N20,nominal,2.0NRT,292.6,1.77,N
33.99537,-85.17105,304.34,0.41,0.37,2026-08-30,0744,N20,nominal,2.0NRT,291.94,0.53,N
33.99458,-85.16964,305.07,0.41,0.37,2026-08-30,0744,N20,nominal,2.0NRT,291.83,0.58,N
35.69677,-101.37134,304.41,0.57,0.69,2026-08-30,0744,N20,nominal,2.0NRT,291.98,1.88,N
35.31141,-95.71853,307.46,0.54,0.51,2026-08-30,0744,N20,nominal,2.0NRT,292.09,1.14,N
33.37467,-82.3625,302.98,0.54,0.42,2026-08-30,0744,N20,nominal,2.0NRT,291.3,0.92,N
35.23778,-96.11174,333.7,0.57,0.52,2026-08-30,0744,N20,nominal,2.0NRT,296.33,4.77,N
35.23882,-96.12449,310.43,0.57,0.52,2026-08-30,0744,N20,nominal,2.0NRT,295.18,3.31,N
35.2383,-96.11812,316.99,0.57,0.52,2026-08-30,0744,N20,nominal,2.0NRT,295.7,4.77,N
35.23352,-96.11877,341.36,0.57,0.52,2026-08-30,0744,N20,nominal,2.0NRT,299.89,7.41,N
35.23404,-96.12516,314.31,0.57,0.52,2026-08-30,0744,N20,nominal,2.0NRT,295.36,10.34,N
35.233,-96.11234,311.34,0.57,0.52,2026-08-30,0744,N20,nominal,2.0NRT,295.26,7.41,N
35.22874,-96.11941,322.53,0.57,0.52,2026-08-30,0744,N20,nominal,2.0NRT,295.49,7.41,N
34.20144,-87.69976,305.65,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,292.81,0.49,N
34.12147,-88.56616,307.46,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,292.43,0.86,N
33.26155,-84.75462,309.1,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,291.7,1.17,N
33.26285,-84.75243,306.22,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,291.83,0.77,N
33.58394,-86.7809,317.74,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.85,2.19,N
33.53579,-86.75797,329.71,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.86,2.62,N
33.5325,-86.75874,321.38,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.51,2.26,N
33.07306,-84.51003,307.57,0.44,0.38,2026-08-30,0744,N20,nominal,2.0NRT,291.51,0.99,N
33.48623,-86.93402,314.31,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.18,1.74,N
